,year,month,state_name,population,date,consumption,scaled_consumption
1615,2021,9,West Virginia,1793716,September 2021,1068082.2222222222,0.5954578217634354
12,2019,1,Idaho,1839106,January 2019,281019.0,0.15280195921279144
61,2019,2,Idaho,1839106,February 2019,279002.36363636365,0.15170542841813558
110,2019,3,Idaho,1839106,March 2019,266914.7272727273,0.14513286742184914
159,2019,4,Idaho,1839106,April 2019,261205.54545454544,0.1420285429195193
208,2019,5,Idaho,1839106,May 2019,259694.9090909091,0.14120714580394447
257,2019,6,Idaho,1839106,June 2019,278228.0909090909,0.15128442346938722
306,2019,7,Idaho,1839106,July 2019,341443.0,0.18565705293767734
355,2019,8,Idaho,1839106,August 2019,330290.0909090909,0.17959274283760202
404,2019,9,Idaho,1839106,September 2019,287153.1818181818,0.1561373742558514
453,2019,10,Idaho,1839106,October 2019,241569.63636363635,0.13135166562647088
502,2019,11,Idaho,1839106,November 2019,266484.63636363635,0.14489900873774342
551,2019,12,Idaho,1839106,December 2019,253869.9090909091,0.13803984603981995
600,2020,1,Idaho,1839106,January 2020,274779.9090909091,0.14940950064374164
